       3.7000894      -0.0000000      0.23907810       1
       3.6999488      -0.0000000      0.24492561       1
       3.6997107    -0.022484060      0.25077093       1
       3.6993070    -0.044954502      0.25661413       1
       3.6987382    -0.067411283      0.26245528       1
       3.6980045    -0.089854363      0.26829448       1
       3.6971063     -0.11228371      0.27413183       1
       3.6960434     -0.13469943      0.27996748       1
       3.6948160     -0.15710181      0.28580158       1
       3.6934241     -0.17949114      0.29163428       1
       3.6918675     -0.20186773      0.29746574       1
       3.6901464     -0.22423189      0.30329610       1
       3.6882605     -0.24658395      0.30912553       1
       3.6862098     -0.26892423      0.31495416       1
       3.6839941     -0.29125309      0.32078214       1
       3.6816132     -0.31357086      0.32660964       1
       3.6790670     -0.33587791      0.33243680       1
       3.6763551     -0.35817461      0.33826377       1
       3.6734773     -0.38046132      0.34409071       1
       3.6704333     -0.40273842      0.34991776       1
       3.6672228     -0.42500631      0.35574507       1
       3.6638453     -0.44726537      0.36157280       1
       3.6603005     -0.46951601      0.36740110       1
       3.6565879     -0.49175864      0.37323012       1
       3.6527071     -0.51399367      0.37906001       1
       3.6486575     -0.53622152      0.38489092       1
       3.6444385     -0.55844262      0.39072300       1
       3.6400497     -0.58065740      0.39655641       1
       3.6354903     -0.60286630      0.40239129       1
       3.6307597     -0.62506976      0.40822779       1
       3.6258572     -0.64726823      0.41406607       1
       3.6207821     -0.66946217      0.41990628       1
       3.6155336     -0.69165204      0.42574857       1
       3.6101109     -0.71383831      0.43159308       1
       3.6045130     -0.73602144      0.43743998       1
       3.5987392     -0.75820192      0.44328941       1
       3.5927884     -0.78038022      0.44914153       1
       3.5866596     -0.80255683      0.45499647       1
       3.5803519     -0.82473225      0.46085441       1
       3.5738640     -0.84690697      0.46671548       1
       3.5671950     -0.86908153      0.47257983       1
       3.5603435     -0.89125658      0.47844762       1
       3.5533082     -0.91343273      0.48431888       1
       3.5460875     -0.93561028      0.49019355       1
       3.5386800     -0.95778927      0.49607155       1
       3.5310842     -0.97996975      0.50195282       1
       3.5232984      -1.0021518      0.50783729       1
       3.5153211      -1.0243354      0.51372489       1
       3.5071506      -1.0465208      0.51961555       1
       3.4987852      -1.0687080      0.52550920       1
       3.4902230      -1.0908972      0.53140578       1
       3.4814622      -1.1130885      0.53730521       1
       3.4725010      -1.1352820      0.54320743       1
       3.4633375      -1.1574779      0.54911236       1
       3.4539694      -1.1796764      0.55501995       1
       3.4443949      -1.2018776      0.56093011       1
       3.4346117      -1.2240819      0.56684278       1
       3.4246175      -1.2462896      0.57275790       1
       3.4144101      -1.2685008      0.57867539       1
       3.4039871      -1.2907160      0.58459519       1
       3.3933460      -1.3129352      0.59051722       1
       3.3824843      -1.3351586      0.59644142       1
       3.3713994      -1.3573865      0.60236771       1
       3.3600888      -1.3796188      0.60829604       1
       3.3485498      -1.4018555      0.61422632       1
       3.3367796      -1.4240968      0.62015850       1
       3.3247754      -1.4463424      0.62609250       1
       3.3125345      -1.4685922      0.63202826       1
       3.3000538      -1.4908459      0.63796570       1
       3.2873304      -1.5131034      0.64390476       1
       3.2743613      -1.5353641      0.64984537       1
       3.2611436      -1.5576277      0.65578745       1
       3.2476739      -1.5798936      0.66173095       1
       3.2339493      -1.6021611      0.66767579       1
       3.2199664      -1.6244296      0.67362190       1
       3.2057220      -1.6466982      0.67956921       1
       3.1912129      -1.6689661      0.68551767       1
       3.1764356      -1.6912321      0.69146719       1
       3.1613869      -1.7134952      0.69741775       1
       3.1460632      -1.7357544      0.70336939       1
       3.1304613      -1.7580085      0.70932211       1
       3.1145775      -1.7802562      0.71527593       1
       3.0984082      -1.8024962      0.72123087       1
       3.0819499      -1.8247269      0.72718694       1
       3.0651990      -1.8469469      0.73314418       1
       3.0481516      -1.8691544      0.73910258       1
       3.0308041      -1.8913475      0.74506218       1
       3.0131528      -1.9135243      0.75102299       1
       2.9951937      -1.9356829      0.75698503       1
       2.9769230      -1.9578209      0.76294831       1
       2.9583367      -1.9799361      0.76891285       1
       2.9394309      -2.0020263      0.77487868       1
       2.9202015      -2.0240888      0.78084580       1
       2.9006443      -2.0461212      0.78681425       1
       2.8807552      -2.0681207      0.79278403       1
       2.8605298      -2.0900846      0.79875516       1
       2.8399639      -2.1120101      0.80472766       1
       2.8190530      -2.1338942      0.81070155       1
       2.7977930      -2.1557332      0.81667685       1
       2.7761795      -2.1775236      0.82265358       1
       2.7542083      -2.1992617      0.82863175       1
       2.7318750      -2.2209438      0.83461138       1
       2.7091749      -2.2425659      0.84059248       1
       2.6861036      -2.2641242      0.84657509       1
       2.6626563      -2.2856144      0.85255921       1
       2.6388281      -2.3070326      0.85854487       1
       2.6146142      -2.3283743      0.86453207       1
       2.5900094      -2.3496354      0.87052085       1
       2.5650085      -2.3708112      0.87651121       1
       2.5396062      -2.3918974      0.88250317       1
       2.5137969      -2.4128891      0.88849676       1
       2.4875750      -2.4337817      0.89449199       1
       2.4609346      -2.4545702      0.90048888       1
       2.4338696      -2.4752495      0.90648739       1
       2.4063738      -2.4958140      0.91248667       1
       2.3784414      -2.5162566      0.91848529       1
       2.3500676      -2.5365692      0.92448182       1
       2.3212476      -2.5567434      0.93047483       1
       2.2919761      -2.5767711      0.93646286       1
       2.2622478      -2.5966440      0.94244449       1
       2.2320566      -2.6163543      0.94841828       1
       2.2013961      -2.6358939      0.95438279       1
       2.1702598      -2.6552547      0.96033659       1
       2.1386413      -2.6744281      0.96627822       1
       2.1065338      -2.6934054      0.97220627       1
       2.0739308      -2.7121775      0.97811929       1
       2.0408255      -2.7307348      0.98401584       1
